image path：/home/u23211510025/process/val_batch26/C202401364/Step3_sc_slide/C202401364
weight:/home/u23211510025/process/efficientnet/qc_iteration12/weight/0703_1409/Epoch21.pth
threshold:0.6
Image:	pred:	prob：
tile_41_28_3.png	good	[0.0014445113483816385, 0.996517539024353, 0.0005247030057944357, 0.00011301167978672311, 0.0008525071898475289, 0.0004246656899340451, 0.00012307566066738218]
tile_24_35_4.png	good	[0.000647031469270587, 0.9912472367286682, 0.002391798421740532, 0.00025205573183484375, 0.0032568080350756645, 0.0015320704551413655, 0.0006731281173415482]
tile_22_57_2.png	good	[5.920094918110408e-05, 0.999504566192627, 2.2882320990902372e-05, 3.2253908557322575e-06, 5.360162504075561e-06, 0.00017204364121425897, 0.00023275859712157398]
tile_14_38_2.png	good	[0.00012082910689059645, 0.9989544153213501, 0.00020743018831126392, 0.0001238005788763985, 0.00034214870538562536, 0.0001563601690577343, 9.492337267147377e-05]
tile_51_25_5.png	good	[0.0008005794370546937, 0.982384204864502, 0.007329902146011591, 0.0003787429886870086, 0.0037858427967876196, 0.0023136765230447054, 0.0030069826170802116]
tile_26_13_6.png	good	[0.02174755558371544, 0.6583189368247986, 0.21323618292808533, 0.012701227329671383, 0.017530275508761406, 0.06439006328582764, 0.01207573153078556]
tile_43_40_7.png	good	[0.002174826106056571, 0.9027484655380249, 0.006382414139807224, 0.002842626767233014, 0.011771128512918949, 0.07350678741931915, 0.0005737016908824444]
tile_60_33_6.png	good	[0.005972497630864382, 0.9512883424758911, 0.031232818961143494, 0.0005470361211337149, 0.0015675179893150926, 0.007731422781944275, 0.0016602909890934825]
tile_40_39_2.png	good	[0.0012877705739811063, 0.9947718977928162, 8.640715532237664e-05, 2.3668586436542682e-05, 0.003504623658955097, 0.0002226365904789418, 0.00010305194882676005]
tile_23_46_3.png	good	[0.00011285753134870902, 0.9989245533943176, 0.0004334501572884619, 6.06215835432522e-05, 0.00018902297597378492, 0.00019146170234307647, 8.801306103123352e-05]
tile_15_27_3.png	good	[0.006282125134021044, 0.8697024583816528, 0.0016427937662228942, 0.0021225770469754934, 0.022310279309749603, 0.011076973751187325, 0.08686277270317078]
tile_25_24_5.png	good	[0.0003655650361906737, 0.9989652633666992, 0.00021213416766840965, 5.8995970903197303e-05, 6.695735646644607e-05, 0.00031185094849206507, 1.920432441693265e-05]
