image path：/home/u23211510025/process/val_batch28/C202401622/Step3_sc_slide/C202401622
weight:/home/u23211510025/process/efficientnet/qc_iteration12/weight/0703_1409/Epoch21.pth
threshold:0.6
Image:	pred:	prob：
tile_49_41_0.png	good	[3.753217606572434e-05, 0.9983148574829102, 1.1047085536119994e-05, 2.065233638859354e-05, 0.00010085223038913682, 0.0014490092871710658, 6.594946898985654e-05]
tile_22_57_2.png	good	[0.10512375086545944, 0.7519798874855042, 0.0031704900320619345, 0.0028539008926600218, 0.11702939122915268, 0.012719182297587395, 0.007123392075300217]
tile_14_38_2.png	good	[0.001237418851815164, 0.9667658805847168, 0.006428966298699379, 0.00017791076970752329, 0.01659352518618107, 0.0042137992568314075, 0.004582486115396023]
tile_42_51_6.png	good	[0.09316080063581467, 0.7402185201644897, 0.004168292507529259, 0.005894398782402277, 0.1326311081647873, 0.01738678105175495, 0.006540084257721901]
tile_60_33_6.png	good	[0.007213708013296127, 0.9470600485801697, 0.001878537586890161, 0.0071775708347558975, 0.03367450460791588, 0.0018798601813614368, 0.0011156980181112885]
tile_40_39_2.png	good	[9.06208879314363e-06, 0.9997054934501648, 1.3940310964244418e-05, 3.5277813026368676e-07, 4.6585817472077906e-05, 5.971525752102025e-06, 0.00021860953711438924]
tile_23_46_3.png	good	[0.05130217224359512, 0.8720604181289673, 0.027454322203993797, 0.0004430094559211284, 0.009546421468257904, 0.006285876967012882, 0.03290782496333122]
tile_15_27_3.png	good	[0.041493069380521774, 0.5875046253204346, 0.05048906430602074, 0.17581935226917267, 0.07408351451158524, 0.0641772523522377, 0.006433133035898209]
tile_41_62_5.png	good	[0.0011751506244763732, 0.9882364869117737, 0.0017095122020691633, 0.0005619715084321797, 0.0035421743523329496, 0.0018834058428183198, 0.002891326555982232]
tile_42_17_4.png	good	[0.00015218582120724022, 0.9995393753051758, 0.00011590413487283513, 2.7145235435455106e-05, 0.00012398841499816626, 3.1447067158296704e-05, 9.938612492987886e-06]
tile_50_36_4.png	good	[0.047480374574661255, 0.9024878144264221, 0.000610827817581594, 0.00014394079335033894, 0.0019429934909567237, 0.003910340368747711, 0.043423667550086975]
tile_13_49_1.png	good	[0.014556440524756908, 0.9761545062065125, 0.00024237915931735188, 0.0004365947097539902, 0.003930907696485519, 0.0010464092483744025, 0.0036327920388430357]
tile_30_59_1.png	good	[0.0031172370072454214, 0.7929178476333618, 0.08440200239419937, 0.028972012922167778, 0.07114872336387634, 0.012861799448728561, 0.006580434739589691]
tile_33_60_6.png	good	[0.005026400554925203, 0.9646506905555725, 0.0006012808298692107, 0.0002921759441960603, 0.02327604405581951, 0.00028071741689927876, 0.005872673355042934]
tile_34_15_5.png	good	[0.00021404746803455055, 0.9989709854125977, 1.401123336108867e-05, 8.410849659412634e-06, 0.0005573089583776891, 0.00014571774227079004, 8.938369865063578e-05]
tile_52_31_7.png	good	[7.077118789311498e-05, 0.999714195728302, 2.210018465120811e-05, 4.318058017815929e-06, 0.0001550757879158482, 2.0727924493257888e-05, 1.2783397323801182e-05]
tile_40_56_3.png	mult	[0.0025704915169626474, 0.4655267000198364, 0.5102569460868835, 0.009110941551625729, 0.005645102355629206, 0.002530592493712902, 0.0043592797592282295]
tile_24_18_3.png	good	[0.0022026055958122015, 0.9932307004928589, 0.0007209224859252572, 3.476089477771893e-05, 0.002792042912915349, 0.00084590696496889, 0.00017307238886132836]
tile_33_26_4.png	good	[0.03720647841691971, 0.4486367404460907, 0.15726710855960846, 0.06492579728364944, 0.05522748455405235, 0.024543775245547295, 0.2121925950050354]
tile_41_45_4.png	good	[0.03768463805317879, 0.723958432674408, 0.016823511570692062, 0.0033552125096321106, 0.15924681723117828, 0.007621429394930601, 0.05130988359451294]
tile_24_52_5.png	good	[0.005660397000610828, 0.937440037727356, 0.006976351607590914, 0.0016996291233226657, 0.033559542149305344, 0.013185164891183376, 0.0014789006672799587]
tile_50_19_3.png	good	[0.015389392152428627, 0.7760462164878845, 0.016203703358769417, 0.1260484755039215, 0.01564701274037361, 0.04617141932249069, 0.0044937776401638985]
tile_53_20_8.png	good	[0.005815031472593546, 0.5095822215080261, 0.019997868686914444, 0.0009603993967175484, 0.45948919653892517, 0.0025424822233617306, 0.0016127474373206496]
tile_14_55_3.png	good	[0.0064197140745818615, 0.8299484252929688, 0.021964332088828087, 0.002396833384409547, 0.11871849000453949, 0.0015285591362044215, 0.019023651257157326]
