image path：F:\neg_train_dataset_svs\Step3\ori\C202402223
weight：F:\efficientNet\qc_iteration\iteration12\weight\0703_1409\Epoch21.pth
Image:	pred:	prob：
tile_10_14_0.png	good	[4.356786666903645e-05, 0.9994217157363892, 0.00028489611577242613, 1.5354073184425943e-05, 1.3599567864730489e-05, 5.715893712476827e-05, 0.0001636442175367847]
tile_10_14_1.png	good	[0.010382088832557201, 0.8631619811058044, 0.0845811665058136, 0.0026519405655562878, 0.023871837183833122, 0.007654155138880014, 0.0076967827044427395]
tile_10_14_2.png	good	[0.0003330534091219306, 0.9933475852012634, 0.00307176704518497, 0.0010978804202750325, 0.0014958246611058712, 0.0003833841474261135, 0.0002705054066609591]
tile_10_14_3.png	good	[5.964539013803005e-06, 0.9996258020401001, 1.2070620869053528e-05, 4.950660695612896e-06, 0.0002902643464040011, 5.633377440972254e-05, 4.516173703450477e-06]
tile_10_15_1.png	good	[0.0004815758147742599, 0.9986127614974976, 0.00045835907803848386, 0.0001373620325466618, 3.55884330929257e-05, 0.00022947763500269502, 4.474616071092896e-05]
tile_10_15_4.png	good	[0.0035834151785820723, 0.5488334894180298, 0.034827250987291336, 0.0004130025045014918, 0.00705037172883749, 0.007888123393058777, 0.3974043130874634]
tile_10_15_5.png	good	[7.75741646066308e-05, 0.9976892471313477, 0.0004918925696983933, 0.0003512792172841728, 0.0008570552454330027, 0.00023334575234912336, 0.00029952218756079674]
tile_10_16_12.png	good	[0.0035442381631582975, 0.9560021162033081, 0.02642492763698101, 0.0002728592953644693, 0.0021468682680279016, 0.0011887169675901532, 0.010420288890600204]
tile_10_16_13.png	good	[0.011452190577983856, 0.9286498427391052, 0.05176037549972534, 0.0008101051207631826, 0.0017185854958370328, 0.0037934971041977406, 0.0018154121935367584]
tile_10_16_14.png	good	[0.0026717421133071184, 0.9190812706947327, 0.053294144570827484, 0.008684243075549603, 0.008934504352509975, 0.003778281155973673, 0.0035557851660996675]
tile_10_16_2.png	good	[0.0055397143587470055, 0.517611026763916, 0.0017274649580940604, 0.0034878901205956936, 0.013064946979284286, 0.4473332166671753, 0.011235782876610756]
tile_10_16_4.png	good	[0.00044731530942954123, 0.9961428046226501, 0.00017661269521340728, 9.818181570153683e-05, 0.0015513314865529537, 0.0005982858128845692, 0.000985492137260735]
