image path：/home/u23211510025/process/val_batch18/C202366603/Step3_sc_slide/C202366603
weight:/home/u23211510025/process/efficientnet/qc_iteration12/weight/0703_1409/Epoch21.pth
threshold:0.6
Image:	pred:	prob：
tile_49_41_0.png	good	[0.00015704780525993556, 0.999651312828064, 1.7780957932700403e-05, 2.2162976165418513e-05, 4.7398527385666966e-05, 5.653606785926968e-05, 4.776444620802067e-05]
tile_14_38_2.png	good	[0.004653668962419033, 0.9420463442802429, 0.008834300562739372, 0.0008307894458994269, 0.0038089812733232975, 0.03861471265554428, 0.0012111742980778217]
tile_26_13_6.png	good	[0.0017385000828653574, 0.9228052496910095, 0.010145510546863079, 0.0023782418575137854, 0.02219756692647934, 0.0187029130756855, 0.022032028064131737]
tile_15_27_3.png	good	[1.8938470020657405e-05, 0.9996452331542969, 1.6790991139714606e-05, 3.4931158552353736e-06, 1.0210333130089566e-05, 1.8793380149872974e-05, 0.000286496157059446]
tile_13_49_1.png	good	[0.0010047804098576307, 0.9956786036491394, 0.0007287958287633955, 0.000406140141421929, 0.0014781616628170013, 0.0001949155848706141, 0.0005086488090455532]
tile_50_53_5.png	good	[0.13189557194709778, 0.6183578372001648, 0.019061435014009476, 0.011412645690143108, 0.1229378804564476, 0.07587522268295288, 0.020459357649087906]
tile_40_56_3.png	good	[3.884681518684374e-06, 0.9999693632125854, 7.355239972639538e-07, 2.2678072753024026e-07, 4.613300916389562e-06, 9.402906471223105e-06, 1.1783577974711079e-05]
tile_58_32_0.png	good	[1.73394255398307e-05, 0.9989977478981018, 0.0005068252794444561, 5.705929652322084e-06, 6.0493646742543206e-05, 0.00040885276393964887, 2.999933940373012e-06]
tile_36_18_0.png	good	[0.008823271840810776, 0.7966374158859253, 0.10607870668172836, 0.004556838423013687, 0.022013207897543907, 0.012518656440079212, 0.049371860921382904]
tile_44_37_0.png	good	[0.0010020085610449314, 0.9868489503860474, 0.0002771751314867288, 2.5167728381347843e-05, 0.00016174530901480466, 0.0027294924948364496, 0.008955449797213078]
tile_27_44_1.png	good	[0.0008673221454955637, 0.5110212564468384, 0.0022740382701158524, 0.00035694753751158714, 0.004310126416385174, 0.026409264653921127, 0.4547610580921173]
tile_19_25_1.png	good	[0.00721071707084775, 0.9820782542228699, 0.0019974280148744583, 0.0010716206161305308, 0.0029294227715581656, 0.0036519630812108517, 0.0010605979477986693]
tile_54_34_2.png	good	[0.019596993923187256, 0.5592164993286133, 0.09630682319402695, 0.11812415719032288, 0.09116022288799286, 0.10756221413612366, 0.00803313497453928]
tile_13_24_8.png	good	[0.004947355482727289, 0.8252024054527283, 0.026481082662940025, 0.055718641728162766, 0.07352998852729797, 0.012466900050640106, 0.0016536880284547806]
tile_55_23_3.png	good	[0.009407998993992805, 0.6735068559646606, 0.046825677156448364, 0.09409023821353912, 0.049039509147405624, 0.1245674267411232, 0.0025623280089348555]
tile_18_36_0.png	good	[1.8361303091296577e-06, 0.9999829530715942, 2.602531822049059e-06, 3.6818300941376947e-07, 6.2428393903246615e-06, 2.9818288567184936e-06, 3.020049462065799e-06]
tile_26_55_0.png	good	[0.0011933851055800915, 0.9451754689216614, 0.025395521894097328, 0.00018340186215937138, 0.012901103124022484, 0.01301567256450653, 0.0021353266201913357]
tile_36_52_2.png	good	[0.0002782402152661234, 0.9991672039031982, 5.59018189960625e-05, 6.00201019551605e-06, 0.0001227642351295799, 0.000281841610558331, 8.818342030281201e-05]
tile_54_17_1.png	good	[0.005631376523524523, 0.8312212824821472, 0.003152800491079688, 0.00033154094126075506, 0.0028870205860584974, 0.0065394616685807705, 0.15023642778396606]
