image path：/home/u23211510025/process/val_batch12_0531/C202403078/Step3_sc_slide/C202403078
weight:/home/u23211510025/process/efficientnet/qc_iteration12/weight/0703_1409/Epoch21.pth
threshold:0.6
Image:	pred:	prob：
tile_14_38_2.png	good	[0.05749326944351196, 0.9232707619667053, 0.003957384265959263, 0.001349486643448472, 0.0026386426761746407, 0.0034291709307581186, 0.007861276157200336]
tile_42_51_6.png	good	[0.00015016041288617998, 0.9995823502540588, 5.843359394930303e-05, 6.868386662972625e-06, 8.902669651433825e-05, 6.977908924454823e-05, 4.3309020838933066e-05]
tile_26_13_6.png	good	[0.0004942810628563166, 0.9990872144699097, 3.8592548662563786e-05, 4.14260557590751e-06, 1.3475434570864309e-05, 0.000296411250019446, 6.58827048027888e-05]
tile_34_32_6.png	good	[0.0001043535812641494, 0.998853325843811, 0.0003218058845959604, 1.9366791093489155e-05, 1.4231560271582566e-05, 0.0005681475740857422, 0.00011880728561664]
tile_23_46_3.png	good	[7.708606972300913e-06, 0.9999420642852783, 1.611282459634822e-05, 6.821626357123023e-07, 5.5727778089931235e-06, 2.676461917872075e-05, 1.0356056918681134e-06]
tile_15_27_3.png	good	[0.001052024308592081, 0.9900655746459961, 0.00020351338025648147, 1.5298712241929024e-05, 0.00015092722605913877, 0.0021448812913149595, 0.006367719732224941]
tile_25_24_5.png	good	[0.0032969259191304445, 0.644675612449646, 0.0030071972869336605, 0.0014865382108837366, 0.33803296089172363, 0.007621571887284517, 0.0018792231567203999]
tile_33_43_5.png	good	[4.397903467179276e-05, 0.9997614026069641, 9.019584103953093e-05, 4.62123779243484e-07, 1.488772795710247e-05, 3.337860107421875e-05, 5.564811726799235e-05]
tile_16_50_6.png	good	[0.009850195609033108, 0.8558459877967834, 0.011682698503136635, 0.0028072975110262632, 0.003480673534795642, 0.1118163913488388, 0.00451672961935401]
tile_50_36_4.png	good	[0.002413194626569748, 0.8063714504241943, 0.06033201143145561, 0.10828279703855515, 0.015914304181933403, 0.005243542138487101, 0.001442751963622868]
tile_13_49_1.png	good	[0.0004123631224501878, 0.9980084300041199, 0.0007027204846963286, 7.38289236323908e-05, 0.00016950321150943637, 0.00036834459751844406, 0.0002648372028488666]
