image path：/home/u23211510025/process/val_batch12_0531/C202403436/Step3_sc_slide/C202403436
weight:/home/u23211510025/process/efficientnet/qc_iteration12/weight/0703_1409/Epoch21.pth
threshold:0.6
Image:	pred:	prob：
tile_41_28_3.png	good	[0.007072480861097574, 0.8439676761627197, 0.00450615119189024, 0.000776087399572134, 0.08592594414949417, 0.04588928073644638, 0.011862359941005707]
tile_40_39_2.png	good	[0.00042319571366533637, 0.9985777139663696, 5.75567246414721e-05, 6.252178991417168e-06, 0.0007783942273817956, 0.0001279470307053998, 2.8853342882939614e-05]
tile_15_27_3.png	good	[0.004445479717105627, 0.8947709202766418, 0.013854200020432472, 0.03475593402981758, 0.027801426127552986, 0.01117392722517252, 0.013198141939938068]
tile_30_59_1.png	good	[0.0012813913635909557, 0.9931839108467102, 0.0006450378568843007, 0.0005281443591229618, 0.0007745323819108307, 0.0005226441426202655, 0.0030644263606518507]
tile_40_56_3.png	good	[0.00042757444316521287, 0.9763993620872498, 0.001737177255563438, 0.000892838288564235, 0.0010039422195404768, 0.0010257671819999814, 0.0185132697224617]
tile_15_44_4.png	good	[0.001525909872725606, 0.6013437509536743, 0.3915342390537262, 0.00010991917224600911, 0.0032216461841017008, 0.0019119716016575694, 0.0003525148786138743]
tile_41_45_4.png	good	[0.007244880311191082, 0.6417849659919739, 0.13234534859657288, 0.0008631528471596539, 0.1926201581954956, 0.013600433245301247, 0.011541024781763554]
tile_50_19_3.png	good	[5.662399053107947e-05, 0.9996201992034912, 8.898015221348032e-05, 1.066204367816681e-05, 3.840322096948512e-05, 0.0001653983781579882, 1.9729393898160197e-05]
tile_58_32_0.png	good	[0.00027622663765214384, 0.9843042492866516, 0.00016798515571281314, 0.00026834174059331417, 0.0021482075098901987, 0.012689822353422642, 0.00014522344281431288]
tile_31_48_2.png	good	[0.06694068014621735, 0.6616042256355286, 0.13219580054283142, 0.0005980673595331609, 0.10423080623149872, 0.01290563028305769, 0.021524779498577118]
tile_23_29_2.png	good	[0.0014789897250011563, 0.9300260543823242, 0.00017553314683027565, 3.3396234357496724e-05, 7.565110718132928e-05, 0.0005568149499595165, 0.06765362620353699]
tile_36_18_0.png	good	[0.002748622093349695, 0.9596689939498901, 0.000642735802102834, 0.00017813898739404976, 0.0003736092185135931, 0.012225327081978321, 0.024162597954273224]
tile_44_37_0.png	good	[5.457415318232961e-05, 0.9997894167900085, 8.232933760154992e-05, 1.1044164239137899e-05, 2.507230055925902e-05, 1.6869946193764918e-05, 2.0611108993762173e-05]
tile_19_25_1.png	good	[0.008769317530095577, 0.9012184739112854, 0.0269304346293211, 0.005487996619194746, 0.013694142922759056, 0.03785631060600281, 0.006043308414518833]
tile_53_45_1.png	good	[0.002562908688560128, 0.877505898475647, 0.045636050403118134, 0.0006648174021393061, 0.006445558276027441, 0.01019920501857996, 0.05698565021157265]
tile_45_26_1.png	good	[0.0024248315021395683, 0.9229058623313904, 0.06539366394281387, 0.0026041287928819656, 0.0031954168807715178, 0.002169953193515539, 0.0013061953941360116]
tile_37_24_2.png	good	[0.0047781928442418575, 0.9014706611633301, 0.0027591378893703222, 0.050132136791944504, 0.03462417796254158, 0.005433593410998583, 0.000802167400252074]
tile_35_46_0.png	good	[0.0010537399211898446, 0.9382723569869995, 0.002066507702693343, 0.0002175220288336277, 0.0006724815466441214, 0.0013929848792031407, 0.05632438510656357]
tile_18_53_1.png	good	[0.0029039073269814253, 0.99457848072052, 6.57227574265562e-05, 0.0001289046776946634, 0.0002315986348548904, 0.0009265107219107449, 0.0011648271465674043]
tile_44_54_1.png	good	[6.591717101400718e-05, 0.9995020627975464, 3.568465763237327e-05, 3.467255737632513e-05, 6.758119707228616e-05, 0.00017301841580774635, 0.00012106020585633814]
tile_36_35_1.png	good	[0.0013635505456477404, 0.8994912505149841, 0.08953211456537247, 0.00023739651078358293, 0.00789104588329792, 0.0009854822419583797, 0.0004990412853658199]
tile_19_42_2.png	good	[0.0033666302915662527, 0.9226279258728027, 0.06200515851378441, 0.0013718728441745043, 0.0026974144857376814, 0.006889150477945805, 0.001041847513988614]
tile_53_28_0.png	good	[0.004810031037777662, 0.6914020776748657, 0.03970019146800041, 0.00045344873797148466, 0.001249474473297596, 0.002871711738407612, 0.2595129609107971]
tile_17_43_3.png	good	[0.0005255476571619511, 0.9990978240966797, 5.920067269471474e-05, 4.374890704639256e-05, 8.358128980034962e-05, 9.301200043410063e-05, 9.716611384646967e-05]
tile_32_58_0.png	good	[0.0003501083410810679, 0.9969136714935303, 0.00019408752268645912, 1.0245406883768737e-05, 5.983726441627368e-05, 7.561058737337589e-05, 0.0023964643478393555]
tile_45_22_5.png	good	[0.001800436177290976, 0.6363571882247925, 0.19117096066474915, 0.003211147617548704, 0.16447488963603973, 0.001804195111617446, 0.0011812165612354875]
tile_16_54_2.png	good	[0.0013860213803127408, 0.9756274819374084, 0.0035414129961282015, 0.0002826196141541004, 0.017596198245882988, 0.0010550435399636626, 0.0005112292128615081]
tile_25_28_1.png	good	[0.00021988741355016828, 0.9982094764709473, 0.0007252113427966833, 3.121844565612264e-05, 4.952747258357704e-05, 0.0006633634911850095, 0.00010129333531949669]
tile_33_47_1.png	good	[0.02144957333803177, 0.8220113515853882, 0.031216489151120186, 0.001734183169901371, 0.030870724469423294, 0.028071869164705276, 0.06464578211307526]
tile_52_18_2.png	good	[0.01323940884321928, 0.4352673292160034, 0.18175595998764038, 0.3141254484653473, 0.02610638365149498, 0.014900085516273975, 0.014605429954826832]
tile_26_51_4.png	good	[0.00016746412438806146, 0.9993601441383362, 0.0003720298409461975, 7.2700995588093065e-06, 3.355778972036205e-05, 5.1134058594470844e-05, 8.411823728238232e-06]
tile_15_48_0.png	good	[0.0033445756416767836, 0.958827018737793, 0.00026089182938449085, 6.63917453493923e-05, 0.0008290057885460556, 0.0030411379411816597, 0.033630963414907455]
